facility_id,facility_name,address,city_town,state,zip_code,county_parish,telephone_number,patients_who_reported_that_staff_definitely_gave_care_in_a_professional_way_and_the_facility_was_clean,patients_who_reported_that_staff_somewhat_gave_care_in_a_professional_way_or_the_facility_was_somewhat_clean,patients_who_reported_that_staff_did_not_give_care_in_a_professional_way_or_the_facility_was_not_clean,facilities_and_staff_linear_mean_score,patients_who_reported_that_staff_definitely_communicated_about_what_to_expect_during_and_after_the_procedure,patients_who_reported_that_staff_somewhat_communicated_about_what_to_expect_during_and_after_the_procedure,patients_who_reported_that_staff_did_not_communicate_about_what_to_expect_during_and_after_the_procedure,communication_about_your_procedure_linear_mean_score,patients_who_gave_the_facility_a_rating_of_9_or_10_on_a_scale_from_0_lowest_to_10_highest,patients_who_gave_the_facility_a_rating_of_7_or_8_on_a_scale_from_0_lowest_to_10_highest,patients_who_gave_the_facility_a_rating_of_0_to_6_on_a_scale_from_0_lowest_to_10_highest,patients_rating_of_the_facility_linear_mean_score,patients_who_reported_yes_they_would_definitely_recommend_the_facility_to_family_or_friends,patients_who_reported_probably_yes_they_would_recommend_the_facility_to_family_or_friends,patients_who_reported_no_they_would_not_recommend_the_facility_to_family_or_friends,patients_recommending_the_facility_linear_mean_score,footnote,number_of_sampled_patients,number_of_completed_surveys,survey_response_rate_percent,start_date,end_date
01C0001000,MONTGOMERY SURGICAL CENTER,470 TAYLOR RD SUITE 100,MONTGOMERY,AL,36117,,(334) 747-9666,99,1,0,100,96,3,1,98,95,4,1,98,95,5,0,98,"3,6",171,51,30,04/01/2024,03/31/2025
01C0001002,MOBILE SC LTD DBA MOBILE SURGERY CENTER,6144 AIRPORT BLVD SUITE A,MOBILE,AL,36608,,(251) 438-3614,99,1,0,100,96,4,0,98,95,4,1,97,96,4,0,99,"3,6",288,68,24,04/01/2024,03/31/2025
01C0001008,OUTPATIENT CARECENTER,2720 UNIVERSITY BLVD,BIRMINGHAM,AL,35007,,(205) 558-4859,95,4,1,97,94,5,1,96,84,13,3,93,82,13,5,91,3,892,187,21,04/01/2024,03/31/2025
01C0001009,SURGICARE OF MOBILE LTD,2890 DAUPHIN ST.,MOBILE,AL,36606,,(251) 473-2020,98,2,0,99,95,3,2,96,92,7,1,96,91,8,1,96,3,424,117,28,04/01/2024,03/31/2025
01C0001010,SOUTHERN ALABAMA SURGERY CENTER LLC,"2800 ROSS CLERK CIR, STE. 3",DOTHAN,AL,36301,,(334) 793-3411,95,5,0,97,86,12,2,92,84,11,5,92,89,6,5,95,"3,10",128,41,32,04/01/2024,03/31/2025
01C0001011,GADSDEN SURGERY CENTER LP,418 SOUTH 5TH ST,GADSDEN,AL,35901,,(256) 543-1253,98,2,0,99,95,5,0,97,93,7,0,97,91,8,1,97,"3,6",431,92,21,04/01/2024,03/31/2025
01C0001013,THE SURGERY CENTER OF HUNTSVILLE,721 MADISON ST,HUNTSVILLE,AL,35801,,(256) 533-4888,97,2,1,98,92,7,1,96,90,7,3,94,84,15,1,94,"3,6",254,79,31,04/01/2024,03/31/2025
01C0001014,OUTPATIENT SERVICES EAST,52 MEDICAL PARK DR. EAST,BIRMINGHAM,AL,35235,,(205) 838-3888,99,1,0,99,96,3,1,97,94,6,0,97,91,9,0,97,"3,10",183,36,20,04/01/2024,03/31/2025
01C0001017,TUSCALOOSA SURGICAL CENTER LP,1400 MCFARLAND BLVD NORTH,TUSCALOOSA,AL,35406,,(205) 750-2109,98,1,1,99,95,4,1,97,93,7,0,97,95,4,1,98,"3,6",279,92,33,04/01/2024,03/31/2025
01C0001018,DECATUR AMBULATORY SURGERY CENTER,2828 US HWY 31,DECATUR,AL,35603,,(256) 340-1212,95,4,1,97,87,9,4,91,81,15,4,92,74,20,6,88,3,568,112,20,04/01/2024,03/31/2025
